name,C11,C22,C33,C12,C13,C23,C44,C55,C66
MgO,297,297,297,95,95,95,156,156,156
CaO,223,223,223,59,59,59,81,81,81
Garnet,281,281,281,80,80,80,88,88,88
Ringwoodite         ,327,327,327,112,112,112,126,126,126
Ca-pervskite,374,374,374,167,167,167,225,225,225
Zircon,256,256,372,175,175,214,74,74,116
Cassiterite,262,262,450,177,177,156,103,103,207
TiO2,269,269,480,177,177,146,124,124,192
GeO              ,337,337,599,188,188,187,162,162,258
Stishovite,453,453,776,211,211,203,252,252,302
Enstatite,225,178,214,72,54,53,78,76,82
Fayalite,266,168,232,92,92,55,32,47,57
Forsterite ,328,200,235,64,69,74,65,81,81
Wadsleyite ,371,373,272,66,95,105,111,123,103
Mg-perovskite,482,537,485,144,147,146,204,186,147
Quartz,117,110,110,16,33,33,36,50,50
Wurtzite,122,138,138,48,42,42,29,37,37
Dolomite,205,113,113,71,57,57,40,74,74
Mg-ilmenite,472,382,382,168,70,70,106,152,152
Corundum,498,501,501,163,130,130,147,171,171
